file,bars_N,avg_offdiag,rep_density,struct_entropy,block_coherence
temp_0.6_bars_64_005__barSSM_chroma_fs50.npy,14,0.6238646507263184,0.358974358974359,4.162475109100342,0.41711312532424927
temp_0.7_bars_16_001__barSSM_chroma_fs50.npy,16,0.6072912812232971,0.3333333333333333,4.56689977645874,0.3930264413356781
temp_0.7_bars_16_002__barSSM_chroma_fs50.npy,11,0.705956757068634,0.6888888888888889,3.5743770599365234,0.3976696729660034
temp_0.7_bars_16_003__barSSM_chroma_fs50.npy,17,0.936020016670227,0.875,4.774250030517578,0.19417107105255127
temp_0.7_bars_16_004__barSSM_chroma_fs50.npy,17,0.8520568013191223,0.7583333333333333,4.668079376220703,0.2677992582321167
temp_0.7_bars_16_005__barSSM_chroma_fs50.npy,16,0.6072551608085632,0.3523809523809524,4.579518795013428,0.2723160982131958
temp_0.7_bars_32_001__barSSM_chroma_fs50.npy,33,0.7519924640655518,0.6149193548387096,6.160848617553711,0.23424947261810303
temp_0.7_bars_32_002__barSSM_chroma_fs50.npy,32,0.5031495690345764,0.35913978494623655,5.79153299331665,0.6893825531005859
temp_0.7_bars_32_003__barSSM_chroma_fs50.npy,19,0.653109610080719,0.46405228758169936,4.818921089172363,0.45237910747528076
temp_0.7_bars_32_004__barSSM_chroma_fs50.npy,33,0.6514033675193787,0.34274193548387094,6.142904281616211,0.43891483545303345
temp_0.7_bars_32_005__barSSM_chroma_fs50.npy,32,0.4591948986053467,0.432258064516129,5.4866766929626465,0.9376111626625061
temp_0.7_bars_48_001__barSSM_chroma_fs50.npy,48,0.6097116470336914,0.32377428307123035,6.867745399475098,0.39032310247421265
temp_0.7_bars_48_002__barSSM_chroma_fs50.npy,54,0.459894061088562,0.21843251088534107,7.049991607666016,0.5577075481414795
temp_0.7_bars_48_003__barSSM_chroma_fs50.npy,50,0.6681229472160339,0.4268707482993197,6.993343353271484,0.2616696357727051
temp_0.7_bars_48_004__barSSM_chroma_fs50.npy,6,0.6406224370002747,0.1,2.262655258178711,0.48434919118881226
temp_0.7_bars_48_005__barSSM_chroma_fs50.npy,47,0.0,0.0,nan,nan
temp_0.7_bars_64_001__barSSM_chroma_fs50.npy,11,0.7651222944259644,0.5111111111111111,3.7372798919677734,0.43294715881347656
temp_0.7_bars_64_002__barSSM_chroma_fs50.npy,31,0.5927397012710571,0.35402298850574715,5.9641194343566895,0.45868974924087524
temp_0.7_bars_64_003__barSSM_chroma_fs50.npy,64,0.5456258058547974,0.31131592421915005,7.3665571212768555,0.5110032558441162
temp_0.7_bars_64_004__barSSM_chroma_fs50.npy,48,0.5946393609046936,0.2913968547641073,6.849586486816406,0.4253500998020172
