file,bars_N,global_key,key_stability,key_change_rate,chord_diversity,pitch_range,stepwise_ratio,note_density_mean,note_density_std,duration_entropy,error
temp_0.8_bars_16_001.mid,16,F:maj,0.375,0.5333333333333333,0.5625,48.0,0.65,26.625,11.240968597056039,1.2327492237091064,
temp_0.8_bars_16_002.mid,8,A:maj,0.5,0.14285714285714285,0.375,42.0,0.9921259842519685,61.75,34.78056210011563,1.4199025630950928,
temp_0.8_bars_16_003.mid,17,C:maj,0.29411764705882354,0.875,0.6470588235294118,27.0,0.5892857142857143,15.764705882352942,9.955958380107662,0.049158550798892975,
temp_0.8_bars_16_004.mid,17,A:min,0.8235294117647058,0.3125,0.35294117647058826,15.0,0.8278688524590164,13.0,3.4127787539671264,1.7085620164871216,
temp_0.8_bars_16_005.mid,16,D:maj,0.4375,1.0,0.25,14.0,0.4977973568281938,36.1875,5.692305662031862,1.1337357759475708,
temp_0.8_bars_32_001.mid,12,C:maj,0.5833333333333334,0.8181818181818182,0.6666666666666666,22.0,0.10989010989010989,32.5,11.615363389350618,1.5092345476150513,
temp_0.8_bars_32_002.mid,33,C:maj,0.696969696969697,0.34375,0.36363636363636365,47.0,0.22077922077922077,12.606060606060606,9.902370068121261,1.4873340129852295,
temp_0.8_bars_32_003.mid,10,A:min,0.8,0.2222222222222222,0.6,41.0,0.5483870967741935,45.8,9.453041838477178,0.14929932355880737,
temp_0.8_bars_32_004.mid,26,G:maj,0.7307692307692307,0.32,0.5769230769230769,49.0,0.7158671586715867,37.92307692307692,12.203161875649835,1.3147310018539429,
temp_0.8_bars_32_005.mid,33,C:maj,0.36363636363636365,0.8125,0.24242424242424243,62.0,0.2815533980582524,12.090909090909092,3.34268660197277,1.3681899309158325,
temp_0.8_bars_48_001.mid,47,C:maj,0.19148936170212766,0.8260869565217391,0.3617021276595745,41.0,0.24347826086956523,37.8936170212766,12.36885939211203,1.6884641647338867,
temp_0.8_bars_48_002.mid,15,C:maj,0.9333333333333333,0.07142857142857142,0.7333333333333333,28.0,0.4857142857142857,52.13333333333333,15.82347061242325,1.705612301826477,
temp_0.8_bars_48_003.mid,7,C:maj,0.7142857142857143,0.3333333333333333,0.5714285714285714,3.0,0.7391304347826086,57.285714285714285,24.673376546473765,1.4717082977294922,
temp_0.8_bars_48_004.mid,49,C:maj,0.5714285714285714,0.4166666666666667,0.32653061224489793,40.0,0.3448275862068966,26.244897959183675,7.6705921657497305,1.1567130088806152,
